Branch ID	Route Name 	Starting Point	Ending Point	Sign	Notes	Division(s)	Long Description
54_1_54BrCon	54 Lawrence East	Orton Park Road/Brimorton Road	Eglinton Station	54 Eglinton Stn	Before 3pm, clockwise looping/bypass Lawrence East Stn	Eglinton	
54_1_54Bpm	54 Lawrence East	Scarborough Golf Club Rd/Lawrence 	Eglinton Station	54 Eglinton Stn	After 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_1_54BpmCon	54 Lawrence East	Scarborough Golf Club Rd/Lawrence 	Eglinton Station	54B Eglinton Stn	After 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_1_54Bpmr	54 Lawrence East	Scarborough Golf Club Rd/Lawrence 	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_54Br	54 Lawrence East	Orton Park Road/Brimorton Road	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_la54	54 Lawrence East	Warden Ave/Lawrence Ave East	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_lmr54	54 Lawrence East	Morningside/Lawrence Ave East	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_mor54	54 Lawrence East	Lawrence Ave East/Markham Rd	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_54Ccon	54 Lawrence East	Starspray Blvd (Starspray Loop)	Eglinton/Leslie	54C Eglinton and Leslie	Transfer at Leslie	Eglinton	
54_1_54Dcon	54 Lawrence East	Lawrence East RT Stn	Eglinton Station	54D Eglinton Stn	via Don Mills	Eglinton	
54_1_54Gcon	54 Lawrence East	Orton Park Road/Brimorton Road	Eglinton/Leslie	54 Eglinton Stn	Transfer at Leslie	Eglinton	
54_1_54GpmCon	54 Lawrence East	Scarborough Golf Club/Lawrence	Eglinton/Leslie	54 Eglinton Stn	Transfer at Leslie	Eglinton	
54_1_OTBR	54 Lawrence East	Orton Park Rd/Lawrence Av East 	Scarborough Golf Club/Lawrence 	54B Orton Park	Last trip	Eglinton	
54_1_RH54	54 Lawrence East	East Avenue (Rouge Hill GO Stn)	Eglinton Station	54 Eglinton Stn	N/A	Eglinton	
54_1_RH54r	54 Lawrence East	East Avenue (Rouge Hill GO Stn)	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_STRH	54 Lawrence East	Starspray Blvd (Starspray Loop)	East Avenue (Rouge Hill GO Stn)	54 Eglinton Stn	then continues as RH54	Eglinton	Instead of laying over at Starspray Loop, this branch allows buses to continue to Rouge Hill GO and turn off their buses. It is likely this is to reduce noise pollution at Starspray Loop.
54_1_WALEcon	54 Lawrence East	Warden Ave/Lawrence Ave East	Leslie Street/Eglinton Ave East	54 Eglinton Stn	N/A	Eglinton	
55_0_55	55 Warren Park	Underwood Avenue/Varsity Rd	Jane Station	55 Jane Stn	N/A	Mount Dennis, Queensway	
55_0_VAOL	55 Warren Park	Underwood Avenue/Varsity Rd	Dundas St West/Old Dundas 	55 Warren Park	Last trip	Mount Dennis, Queensway	
55_1_55	55 Warren Park	Jane Station	Underwood Avenue/Varsity Rd	55 Warren Park	N/A	Mount Dennis, Queensway	
55_1_OLVA	55 Warren Park	Dundas St West/Old Dundas	Underwood Avenue/Varsity Rd	55 Jane Stn	First trip	Mount Dennis, Queensway	
56_0_56A	56 Leaside	Eglinton Station	Donlands Station	56 Donlands Stn	N/A	Wilson	
56_1_56A	56 Leaside	Donlands Station	Eglinton Station	56A Eglinton Stn	N/A	Wilson	
56_0_56B	56 Leaside	Brentcliffe/Eglinton	Donlands Station	56 Donlands Stn	N/A	Wilson	
56_1_56B	56 Leaside	Donlands Station	Brentcliffe/Eglinton	56B Eglinton 	N/A	Wilson	
57_0_57	57 Midland 	Steeles/Midland Avenue	Kennedy Station	57 Kennedy Stn	N/A	Eglinton	
57_1_57	57 Midland 	Kennedy Station	Steeles/Midland Avenue	57 Steeles	N/A	Eglinton	
57_1_57am	57 Midland 	Kennedy Station	Steeles/Midland Avenue	57 Steeles	Bypassing Transway	Eglinton	While Kennedy Stn is closed, this branch runs and also stops at Transway so passengers can board the bus.
59_0_59A/C	59 Maple Leaf	Oak Street/Weston Road	Lawrence West Stn	59 Lawrence West Stn	via Culford/Benton and Gary Drive	Arrow Rd	
59_0_59Ach	59 Maple Leaf	Oak Street/Weston Road	Church Street/Jane Street	59S Short Turn	Last Trip	Arrow Rd	
59_0_59B/C	59 Maple Leaf	Weston Road	Lawrence West Stn	59 Lawrence West Stn	via Culford/Benton and Church	Arrow Rd	
59_0_59Bch	59 Maple Leaf	Weston Road	Church Street/Jane Street	59S Short Turn	Last Trip	Arrow Rd	
59_1_59A/C	59 Maple Leaf	Lawrence West Stn	Oak Street/Weston Road	59A Weston Rd	via Benton/Culford and Gary Drive	Arrow Rd	
59_1_59B/C	59 Maple Leaf	Lawrence West Stn	Weston Road	59B Weston Rd	via Culford/Benton and Church	Arrow Rd	
59_1_ch59A	59 Maple Leaf	Church Street	Weston Road	59A Weston Rd	First Trip, via Gary	Arrow Rd	
59_1_ch59B	59 Maple Leaf	Church Street	Weston Road	59B Weston Rd	First Trip, via Gary	Arrow Rd	
60_0_60A	60 Steeles West	Pioneer Village Stn	Finch Station	60 Finch Stn	N/A	Arrow Rd	
60_0_60Apv	60 Steeles West	Northwest Gate (Pioneer Village Stn)	Finch Station	60 Finch Stn	While subway closed	Arrow Rd	
60_0_60B	60 Steeles West	Martin Grove Road/Steeles	Finch Station	60 Finch Stn	via Pioneer Village Stn	Arrow Rd	
60_0_60Bpv	60 Steeles West	Martin Grove Road/Steeles	Finch Station	60 Finch Stn	bypasses Pioneer Village Stn	Arrow Rd	
60_0_60D	60 Steeles West	Signal Hill/Steeles Ave West	Finch Station	60 Finch Stn	via Pioneer Village Stn	Arrow Rd	One of the branches for coming out of Arrow Rd to route.
60_0_pk60c	60 Steeles West	Peter Keiser Gate/Steeles 	Finch Station	60 Finch Stn	via Pioneer Village Stn	Arrow Rd	
60_0_si60	60 Steeles West	Signet Drive/Steeles Ave West	Finch Station	60 Finch Stn	bypasses Pioneer Village Stn	Arrow Rd	One of the branches for coming out of Arrow Rd to route.
60_0_si60c	60 Steeles West	Signet Drive/Steeles Ave West	Finch Station	60 Finch Stn	via Pioneer Village Stn	Arrow Rd	
60_1_60A	60 Steeles West	Finch Station	Pioneer Village Stn	60A Pioneer Village Stn	N/A	Arrow Rd	
60_1_60Apv	60 Steeles West	Finch Station	Northwest Gate (Pionner Village Stn)	60A Pioneer Village Stn	N/A	Arrow Rd	
60_1_60B	60 Steeles West	Finch Station	Martin Grove Road/Steeles	60B Martin Grove	via Pioneer Village Stn	Arrow Rd	
60_1_60D	60 Steeles West	Finch Station	Signal Hill/Steeles Ave West	60D Highway 27	via Pioneer Village Stn	Arrow Rd	
60_1_60Dpv	60 Steeles West	Finch Station	Signal Hill/Steeles Ave West	60D Highway 27	bypasses Pioneer Village Stn	Arrow Rd	
61_0_61	61 Avenue Road North	Highway 401 (Bombay Loop)	Eglinton Station	61 Eglinton Stn	N/A	Wilson	
61_1_61	61 Avenue Road North	Eglinton Station	Highway 401 (Bombay Loop)	61 Highway 401	N/A	Wilson	
61_1_61aros	61 Avenue Road North	Roselawn/Avenue Rd	Highway 401 (Bombay Loop)	61 Highway 401	School trip	Wilson 	
62_0_62	62 Mortimer 	Broadview Station	Main Street Stn	62 Main Street Stn	N/A	Birchmount	
62_0_62A	62 Mortimer	Broadview Station	Coxwell Avenue/Cosburn Avenue	62S Short Turn	N/A	Birchmount	
62_1_62	62 Mortimer 	Main Street Station	Broadview Station	62 Broadview Stn 	N/A	Birchmount	
62_1_62A	62 Mortimer	Coxwell Avenue/Cosburn Avenue	Broadview Station	62 Broadview Stn	N/A	Birchmount	
63_0_63A	63 Ossington 	Eglinton West Station	Alantic Avenue/King Street West	63 Liberty Village	via Ossington Stn	Wilson	
63_0_63Apm	63 Ossington 	Eglinton West Station	Alantic Avenue/King Street West	63 Liberty Village	via Ossington Stn	Wilson	
63_0_63B	63 Ossington 	St Clair Avenue West	Alantic Avenue/King Street West	63 Liberty Village	via Ossington Stn	Wilson	
63_0_CALB	63 Ossington 	King St West/Strachan	Alantic Avenue/King Street West	63 Liberty Village	First trip	Wilson	
63_0_63AamSun	63 Ossington 	Eglinton West Station	King Street West/Atlantic Avenue	63 Liberty Village	bypasses Ossington Stn	Wilson	While Ossington Stn is closed, Ossington Stn is bypassed and the Bloor Street stop is served.
63_1_63A	63 Ossington 	Alantic Avenue/King Street West	Eglinton West Station	63A Eglinton West Stn	via Ossington Stn	Wilson	
63_1_63B	63 Ossington	Alantic Avenue/King Street West	St Clair Avenue West	63B St Clair	via Ossington Stn	Wilson	
63_1_63Apm	63 Ossington 	Alantic Avenue/King Street West	Eglinton West Station	63A Eglinton West Stn	via Ossington Stn	Wilson	
63_1_63AamSun	63 Ossington 	King Street West/Atlantic 	Eglinton West Station	63A Eglinton West Stn	bypasses Ossington Stn	Wilson	While Ossington Stn is closed, Ossington Stn is bypassed and the Bloor Street stop is served.
63_1_LBKI	63 Ossington 	King Street West/Atlantic 	King Street West/Shaw Street	63S Short Turn	Last Trip before 363	Wilson	
64_0_64	64 Main	Main Street Station	Queen Street East	64 Queen	N/A	Birchmount	
64_1_64	64 Main	Queen Street East	Main Street Station	64 Main Street Stn	N/A	Birchmount	
64_1_QUMS	64 Main	Queen Street East	Main Street Station	64 Main Street Stn	N/A	Birchmount	This branch is similar to 64_1_64 but no differences has been change.
65_0_65	65 Parliament	The Esplanade	Castle Frank Station	65 Castle Frank Stn	N/A	Birchmount	
65_1_65	65 Parliament	Castle Frank Station	The Esplanade	65 Esplanade	N/A	Birchmount	
66_0_66A	66 Prince Edward	Old Mill Station	Humber Loop	66A Humber Loop	N/A	Queensway	
66_0_66B	66 Prince Edward	Old Mill Station	Lake Shore Blvd (Lake Shore Loop)	66B Lake Shore	N/A	Queensway	
66_1_66A	66 Prince Edward	Humber Loop	Old Mill Station	66 Old Mill Stn	N/A	Queensway	
66_1_66B	66 Prince Edward	Lake Shore Blvd (Lake Shore Loop)	Old Mill Station	66 Old Mill Stn	N/A	Queensway	
67_0_67A	67 Pharmacy 	Penworth Rd/Crossland Drive	Victoria Park Station	67 Victoria Park Stn	N/A	Eglinton	
67_0_67B	67 Pharmacy	Craigton Dr/Rannock Street	Victoria Park Station	67 Victoria Park Stn	N/A	Eglinton	
67_0_67Awx	67 Pharmacy 	Penworth Rd/Crossland Drive	Pharmacy/Brian	67 Victoria Park Stn	School trip	Eglinton	This trip ends at Brian to layover and wait for school dismissal.
67_0_wx67A	67 Pharmacy 	Pharmacy Avenue/Brian Avenue	Victoria Park Station	67 Victoria Park Stn	School trip	Eglinton	
67_1_67A	67 Pharmacy 	Victoria Park Station	Penworth Rd/Crossland Drive	67A Ellesmere 	N/A	Eglinton	
67_1_67B	67 Pharmacy	Victoria Park Station	Craigton Dr/Rannock Street	67B Eglinton	N/A	Eglinton	
67_1_DA67	67 Pharmacy 	Danforth Road/Victoria Park 	Penworth Road/Crossland Drive	67A Ellesmere 	bypasses Victoria Park Stn	Eglinton	While Victoria Park Stn is closed, this branch runs and starts from Danforth/Victoria Park so passengers from Danforth Av can board the bus.
68_0_68A	68 Warden	Steeles/Warden Loop	Warden Stn	68 Warden Stn	N/A	Eglinton	
68_0_68Ada	68 Warden	Steeles/Warden Loop	Danforth Road/Warden Avenue	68 Warden Stn	bypasses Warden Stn	Eglinton	
68_0_68Adaly	68 Warden	Steeles/Warden Loop	Danforth Road/Warden Avenue	68 Danforth	bypasses Warden Stn	Eglinton	
68_0_68B	68 Warden	Angus Glen Community Centre	Warden Station	68 Warden Stn	N/A	Eglinton	
68_0_fawa	68 Warden	Fairfax Crescent	Warden Station	68 Warden Stn	School Trip	Eglinton	
68_1_68A	68 Warden	Warden Station	Steeles/Warden Loop	68A Steeles	N/A	Eglinton	
68_1_68B	68 Warden	Warden Station	Angus Glen Community Centre	68B Major Mackenzie	Extra Fare Required North of Steeles	Eglinton	
68_1_poci	68 Warden 	Comstock Road	Angus Glen Community Centre	68B Major Mackenzie	Extra Fare Required North of Steeles	Eglinton	
68_1_wd68A	68 Warden	Danforth Road/Warden Avenue	Steeles/Warden Loop	68A Steeles	bypasses Warden Stn	Eglinton	
68_1_wd68B	68 Warden	Danforth Road/Warden Avenue	Angus Glen Community Centre	68B Major Mackenzie	bypasses Warden Stn	Eglinton	
69_0_69A	69 Warden South	Warden Station	Kingston Road	69A Kingston Rd via Warden	N/A	Birchmount	
69_0_69b	69 Warden South	Warden Station	Kingston Road	69B Kingston Rd via Birchmount	N/A	Birchmount	
69_0_DAKR	69 Warden South	Danforth/Birchmount	Kingston Road	69A Kingston Rd via Warden	N/A	Birchmount	
69_1_69A	69 Warden South	Kingston Road	Warden Station	69A Warden Stn	N/A	Birchmount	
69_1_69b	69 Warden South	Kingston Road	Warden Station	69B Warden Station	N/A	Birchmount	
69_1_DNWA	69 Warden South	Danforth/Birchmount	Warden Station	69B Warden Stn via Birchmount	N/A	Birchmount	
69_1_KRWD	69 Warden South	Kingston Road	Warden/Danforth 	69S Short Turn	N/A	Birchmount	
69_1_KRDA	69 Warden South	Kingston Road	Birchmount Rd/Danforth	69S Short Turn	Last Trip	Birchmount	
70_0_70A	70 O'Connor	Craigton Drive/Pharmacy Avenue	Coxwell Station	70 Coxwell Stn	N/A	Eglinton	
70_0_70B	70 O'Connor	Victoria Park/O'Connor Drive	Coxwell Station	70 Coxwell Stn	N/A	Eglinton	
70_0_70C	70 O'Connor	Warden Stn	Coxwell Station	70 Coxwell Stn	N/A	Birchmount, Eglinton	
70_0_EYCS	70 O'Connor	Cosburn/Coxwell	Coxwell Station	70 Coxwell Stn	School trip, East York CI	Birchmount, Eglinton	TRACK
70_1_70A	70 O'Connor	Coxwell Station	Craigton Drive/Pharmacy Avenue	70A Eglinton 	N/A	Eglinton	
70_1_70B	70 O'Connor	Coxwell Station	Victoria Park/O'Connor Drive	70B Victoria Park	N/A	Eglinton	
70_1_70C	70 O'Connor	Coxwell Station	Warden Station	70C Warden Stn	N/A	Birchmount, Eglinton	
70_1_dc70C	70 O'Connor	Danforth Rd/Coxwell Avenue	Warden Station	70C Warden Stn	First 70C trip, while subway is closed	Eglinton	
71_0_71	71 Runnymede	Mount Dennis Garage	Runnymede Station	71 Runnymede Stn	N/A	Mount Dennis	
71_1_71	71 Runnymede	Runnymede Station	Mount Dennis Garage	71 Industry St	N/A	Mount Dennis	
72_0_72A	72 Pape 	Pape Station	Eastern Avenue	72A Eastern	N/A	Birchmount	
72_1_72A	72 Pape	Eastern Avenue	Pape Stn	72 Pape Stn	N/A	Birchmount	
72_0_72B	72 Pape	Pape Station	Front Street (Union Station) 	72B Union Stn	via Commissioners and Queens Quay	Birchmount	
72_1_72B	72 Pape	Front Street (Union Station) 	Pape Station	72 Pape Stn	N/A	Birchmount	
72_0_72C	72 Pape	Comissioners Street	Pape Station	72 Pape Stn	N/A	Birchmount	
72_1_72C	72 Pape 	Pape Stn	Commissioners Street	72C Commissioners	N/A	Birchmount	
72_0_72B_pk	72 Pape	Pape Stn	Commissioners/Cherry Street	72B Union Stn/72S	72B extended to terminate at Commissioners	Birchmount	
72_1_72B_pk	72 Pape	Commissioners/Cherry Street	Pape Station	72B Pape Stn/72S	N/A	Birchmount	
73_0_73B	73 Royal York 	Eglinton Avenue West/La Rose Avenue	Royal York Station	73 Royal York Stn	N/A	Queensway	
73_0_73C	73 Royal York 	Claireport Crescent West	Royal York Station	73 Royal York Stn	N/A	Queensway	
73_0_73Cp	73 Royal York 	Claireport Crescent East	Royal York Station	73 Royal York Stn	N/A	Queensway	
73_0_73ConST	73 Royal York 	Anglesey Blvd	Royal York Station	73 Royal York Stn	N/A	Queensway	
73_0_73D	73 Royal York 	Knob Hill Drive/Oak Street	Royal York Station	73 Royal York Stn	N/A	Queensway	
73_1_73B	73 Royal York 	Royal York Station	La Rose Avenue/Scarlett Road	73B Eglinton and La Rose	N/A	Queensway	
73_1_73C	73 Royal York 	Royal York Station	Claireport Crescent West	73C Claireport via Albion Rd	N/A	Queensway	
73_1_73ConST	73 Royal York 	Royal York Station	Anglesey Blvd	73S Anglesey	N/A	Queensway	
73_1_73Cp	73 Royal York 	Royal York Station	Claireport Crescent East	73C Claireport via Albion Rd	N/A	Queensway	
73_1_73D	73 Royal York 	Royal York Station	Knob Hill Drive/Oak Street	73D Knob Hill and Oak	N/A	Queensway	
74_0_74	74 Mt Pleasant	Doncliffe Loop (Glen Echo Road)	St Clair Station	74A St Clair Stn	N/A	Wilson	
74_1_74	74 Mt Pleasant 	St Clair Station	Doncliffe Loop (Glen Echo Road)	74A Doncliffe	N/A	Wilson	
75_0_75	75 Sherbourne 	South Drive	Queen's Quay	75 Queens Quay	N/A	Wilson	
75_0_75A	75 Sherbourne	South Drive/Summerhill	Queen's Quay	75 Queens Quay	N/A	Wilson	
75_0_bl75	75 Sherbourne 	Bloor Street West/Sherbourne Street	Queen's Quay	75 Queen's Quay	N/A	Wilson	
75_0_SDBL	75 Sherbourne 	South Drive/Summerhill	Bloor Street West/Sherbourne Street	75S Short Turn	N/A	Wilson	
75_1_75	75 Sherbourne	Queen's Quay	South Drive	75 South Drive	N/A	Wilson	
75_1_75A	75 Sherbourne	Queen's Quay	South Drive/Summerhill	75A South Drive and Summerhill	N/A	Wilson	
75_1_BLSD	75 Sherbourne	Bloor St/Sherbourne Street	South Drive/Summerhill	75 South Drive	N/A	Wilson	
75_1_JVBL	75 Sherbourne	Lower Jarvis/Queen's Quay	Bloor Street West/Sherbourne Street	75S Short Turn	N/A	Wilson	
76_0_76A	76 Royal York South	Royal York Station	Lake Shore Blvd West/Mimico Avenue	76A Lake Shore	N/A	Queensway	
76_0_76B	76 Royal York South	Royal York Station	Royal York Rd/Portland Street	76B Queensway and Grand Ave	N/A	Queensway	
76_0_76B*	76 Royal York South	Royal York Station	Royal York Rd/Portland Street	76B Queensway and Grand Ave	N/A	Queensway	
76_0_76C	76 Royal York South	Royal York Station	The Queensway	76C Queensway	N/A	Queensway	
76_0_76Cev	76 Royal York South	Royal York Station	Royal York Road/Evans Avenue	76S Evans	N/A	Queensway	
76_0_ev76	76 Royal York South	Royal York Road/Evans Avenue	Lake Shore Blvd West/Mimico Avenue	76A Lake Shore	N/A	Queensway	
76_0_qu76	76 Royal York South	The Queensway/Royal York Rd	Lake Shore Blvd West/Mimico Avenue	76A Lake Shore	N/A	Queensway	
76_0_QUGN	76 Royal York South	The Queensway/Royal York Rd	Grand Avenue/Dalesford Road	76S Evans	N/A	Queensway	
76_0_*GNPO	76 Royal York South	Grand Avenue/Dalesford Road	Royal York Rd/Portland Street	76B Queensway and Grand Ave	N/A	Queensway	
76_1_76A	76 Royal York South	Lake Shore Blvd West/Mimico Avenue	Royal York Station	76 Royal York Stn	N/A	Queensway	
76_1_76B	76 Royal York South	Royal York Rd/Portland Street	Royal York Station	76 Royal York Stn	N/A	Queensway	
76_1_76C	76 Royal York South	The Queensway	Royal York Station	76 Royal York Stn	N/A	Queensway	
76_1_ev76	76 Royal York South	Lake Shore Blvd West/Mimico Avenue	Royal York Road/Evans Avenue	76S Evans	N/A	Queensway	
76_1_ev76p	76 Royal York South	Royal York Road/Evans Avenue	Royal York Station	76 Royal York Stn	N/A	Queensway	
76_1_LAEV	76 Royal York South	Lake Shore Blvd West/Mimico Avenue	Royal York Road/Evans Avenue	76S Evans	N/A	Queensway	
77_0_77	77 Swansea	The Queensway	Runnymede Station	77 Runnymede Stn	N/A	Mount Dennis	
77_0_RB77	77 Swansea	Bloor Street/Runnymede 	The Queensway	77 Queensway	First trip while subway is closed	Mount Dennis	
77_1_77	77 Swansea	Runnymede Station	The Queensway	77 Queensway	N/A	Mount Dennis	
77_1_77RB	77 Swansea	The Queensway	Bloor Street West/Runnymede Road	77S Short Turn	Last Trip before 300	Mount Dennis	
78_0_78	78 St Andrews	York Mills Station	Fifeshire Road/Carluke (Bayview) 	78 Bayview	N/A	Wilson	
78_1_78	78 St Andrews	Fifeshire Road/Carluke (Bayview) 	York Mills Station	78 York Mills	N/A	Wilson	
79_0_79A	79 Scarlett Rd	Pine Street/Lawrence Avenue West	Runnymede Station	79A Runnymede Stn via Foxwell/Pritchard	N/A	Mount Dennis	
79_0_79ACon	79 Scarlett Rd	Pine Street/Lawrence Avenue West	Runnymede Station	79A Runnymede Stn via Foxwell/Pritchard	N/A	Mount Dennis	
79_1_79A	79 Scarlett Rd	Runnymede Station	Pine Street/Lawrence Avenue West	79A Lawrence & Jane via Pritchard/Foxwell	N/A	Mount Dennis	
79_1_79ACon	79 Scarlett Rd	Runnymede Station	Pine Street/Lawrence Avenue West	79A Lawrence & Jane via Pritchard/Foxwell	N/A	Mount Dennis	
79_0_79B	79 Scarlett Rd	Pine Street/Lawrence Avenue West	Runnymede Station	79B Runnymede Stn via St Clair	N/A	Mount Dennis	
79_0_79BCon	79 Scarlett Rd	Pine Street/Lawrence Avenue West	Runnymede Station	79B Runnymede Stn via St Clair	N/A	Mount Dennis	
79_1_79B	79 Scarlett Rd	Runnymede Station	Pine Street/Lawrence Avenue West	79B Lawrence & Jane via St Clair	N/A	Mount Dennis	
79_1_79BCon	79 Scarlett Rd	Runnymede Station	Pine Street/Lawrence Avenue West	79B Lawrence & Jane via St Clair	N/A	Mount Dennis	
79_0_PILW	79 Scarlett Rd	Pine Street/Lawrence Avenue West	Lawrence Avenue West/Jane Street	79S Short Turn	Last Trip	Mount Dennis	
80_0_80	80 Queensway	Sherway Gardens	Keele Station	80 Keele Stn via Parkside Dr	N/A	Queensway	
80_0_qu80	80 Queensway	Kipling Avenue/The Queensway	Keele Station	80 Keele Stn via Parkside Dr	N/A	Queensway	
80_1_80	80 Queensway	Keele Station	Sherway Gardens	80 Sherway	N/A	Queensway	
80_1_WDSH	80 Queensway	Windmere/The Queensway	Sherway Gardens	80 Sherway	First trip	Queensway	First trip coming from the garage
81_0_81	81 Thorncliffe Park	Thorncliffe Park Drive	Pape Station	81 Pape Stn	N/A	Birchmount	
81_1_81	81 Thorncliffe Park	Pape Station	Thorncliffe Park Drive	81 Thorncliffe	N/A	Birchmount	
81_1_MITH	81 Thorncliffe Park	Millwood Road/Overlea Blvd	Thorncliffe Park Drive	81 Thorncliffe	N/A	Birchmount	
82_0_82	82 Rosedale 	Summerhill/Maclennan	Rosedale Station	82 Rosedale Stn 	N/A	Wilson	
82_1_82	82 Rosedale 	Rosedale Station	Summerhill/Maclennan	82 Summerhill	N/A	Wilson	
83_0_83	83 Jones	Commissioners Street	Donlands Stn	83 Donlands Stn	N/A	Birchmount	
83_1_83	83 Jones	Rosedale Station	Commissioners Street	83 Commissioners	N/A	Birchmount	
84_0_84A	84 Sheppard West	Weston Road/Bradstock Road	Sheppard-Yonge Station	84 Sheppard-Yonge Stn	via Sheppard West Stn	Arrow Rd	
84_0_84C	84 Sheppard West 	Steeles Avenue West	Sheppard-Yonge Station	84 Sheppard-Yonge Stn	via Arrow/Signet	Arrow Rd	
84_0_84Ca	84 Sheppard West	Steeles Avenue West	Sheppard-Yonge Station	84 Sheppard-Yonge Stn	via Sheppard West Stn	Arrow Rd	
84_0_84Cp	84 Sheppard West	Arrow Road/Finch Avenue West	Rossdean/Steeles	84C Steeles	First trip off to 99 Arrow Rd	Arrow Rd	
84_0_84D	84 Sheppard West	Pionner Village Station	Sheppard-Yonge Station	84 Sheppard-Yonge Stn	via Norfinch/Oakdale	Arrow Rd	
84_0_ba84	84 Sheppard West	St Basil The Great College School 	Sheppard-Yonge Station	84 Sheppard-Yonge Stn	School Trip	Arrow Rd	
84_0_badn84	84 Sheppard West	St Basil The Great College School 	Sheppard West Station	84S Sheppard West Stn	School Trip	Arrow Rd	
84_0_FEFA	84 Sheppard West	24 Fenmar Drive	Finch Avenue West	84S Short Turn	N/A	Arrow Rd	
84_0_RIWE	84 Sheppard West 	Bradstock Road/Weston Road	Sheppard Ave West/Abraham Welsh Rd	84S Sheppard	Last Trip 	Arrow Rd	
84_0_sa84	84 Sheppard West 	Sheppard Ave West/Arrow Rd	Sheppard-Yonge Station	84 Sheppard-Yonge Stn	N/A	Arrow Rd	
84_0_SRFA	84 Sheppard West	Rossdean Drive/Steeles 	Finch Avenue West	84S Short Turn	N/A	Arrow Rd	
84_0_JSOD	84 Sheppard West	Jane Street/Sheppard Ave West	John Dury Drive	84S Short Turn	N/A	Arrow Rd	
84_0_WERI	84 Sheppard West 	Bradstock Rd/Weston Rd	Sheppard Ave West/Abraham Welsh Rd	84A Weston Rd	Last Trip	Arrow Rd	
84_1_84A	84 Sheppard West	Sheppard-Yonge Station	Weston Road	84A Weston Rd	via Sheppard West Stn	Arrow Rd	
84_1_84C	84 Sheppard West	Sheppard-Yonge Station	Steeles Avenue West	84C Steeles	via Signet/Arrow 	Arrow Rd	
84_1_84Ca	84 Sheppard West	Sheppard-Yonge Station	Steeles Avenue West	84C Steeles	via Sheppard West Stn	Arrow Rd	
84_1_84D	84 Sheppard West	Sheppard-Yonge Station	Pionner Village Stn	84D Pionner Village Stn	via Oakdale/Norfinch	Arrow Rd	
84_1_FASR	84 Sheppard West	Finch Ave West/Signet Drive	Rossdean/Steeles	84 Sheppard-Yonge Stn	N/A	Arrow Rd	
84_1_RIWE	84 Sheppard West 	Rivalda Rd/Sheppard Ave West	Bradstock Road/Weston Road	84A Weston Rd	First 84A Trip	Arrow Rd	
84_1_84sa	84 Sheppard West	Sheppard-Yonge Station	Sheppard Ave West/Arrow Road	84S Sheppard	N/A	Arrow Rd	
84_1_SRFE	84 Sheppard West	Rossdean Drive/Steeles 	Fenmar Drive	84C Steeles	First 84C Trip 	Arrow Rd	
85_0_85A	85 Sheppard East	Don Mills Station	Rouge Hill GO Station	85A Rouge Hill Go Stn	N/A	Malvern	
85_0_85B	85 Sheppard East	Don Mills Station	Toronto Zoo	85B Toronto Zoo	N/A	Malvern	
85_0_85Bd	85 Sheppard East	Sheppard-Yonge Station	Toronto Zoo	85B Toronto Zoo	bypasses Don Mills Stn	Malvern	
85_0_85C	85 Sheppard East	Don Mills Station	Meadowvale/Sheppard Loop	85C Meadowvale	N/A	Malvern	
85_0_85D	85 Sheppard East	Don Mills Station	Rouge Hill GO Station	85A Rouge Hill GO Stn	via Toronto Zoo	Malvern	
85_0_85F	85 Sheppard East	Don Mills Station	Toronto Zoo	85B Toronto Zoo	N/A	Malvern	
85_0_85Gd	85 Sheppard East	Sheppard-Yonge Stn	Meadowvale/Sheppard Loop	85C Meadowvale	bypasses Don Mills Stn	Malvern	
85_0_85H	85 Sheppard East	Sheppard-Yonge Stn	Rouge Hill GO Station	85A Rouge Hill GO Stn	via Don Mills Stn and Toronto Zoo	Malvern	
85_0_85J	85 Sheppard East	Sheppard-Yonge Stn	Don Mills Station	85A Don Mills Stn	N/A	Malvern	
85_1_85A	85 Sheppard East	Rouge Hill GO Stn	Don Mills Station	85A Don Mills Stn	N/A	Malvern	
85_1_85B	85 Sheppard East	Toronto Zoo	Don Mills Station	85A Don Mills Stn	N/A	Malvern	
85_1_85Bd	85 Sheppard East	Toronto Zoo	Sheppard-Yonge Station	85 Sheppard-Yonge Stn	bypasses Don Mills Stn	Malvern	
85_1_85C	85 Sheppard East	Meadowvale/Sheppard Loop	Don Mills Station	85A Don Mills Stn	N/A	Malvern	
85_1_85D	85 Sheppard East	Rouge Hill GO Station	Don Mills Station	85A Don Mills Stn	via Toronto Zoo	Malvern	
85_1_85F	85 Sheppard East	Toronto Zoo	Don Mills Station	85A Don Mills Stn	N/A	Malvern	
