Branch ID	Route Name 	Starting Point	Ending Point	Sign	Notes	Division(s)	Long Description
24_0_SOVI	24 Victoria Park 	Rowena Drive/Victoria Park	Victoria Park Station	24 Victoria Park Stn	School trip, Senator O'Connor	Birchmount	
24_0_DABI	24 Victoria Park 	Victoria Park/Danforth 	Bingham Loop (Kingston Rd/Victoria Park) 	24 Bingham	Final Trip	Birchmount	
24_1_24A	24 Victoria Park	Victoria Park Station	Steeles/Victoria Park Loop	24A Steeles	N/A	Birchmount	
24_1_24B	24 Victoria Park	Victoria Park Station	Don Mills Station	24B Don Mills Stn via Consumers Rd	N/A	Birchmount	
24_1_24da	24 Victoria Park 	Danforth/Victoria Park 	Steeles/Victoria Park	24A Steeles	N/A	Birchmount	
24_1_BIDA	24 Victoria Park	Bingham Loop	Danforth/Victoria Park	24 Victoria Park Stn	First trip for the run	Birchmount	
24_1_biv24	24 Victoria Park 	Bingham Loop	Steeles/Victoria Park Loop	24A Steeles	bypasses Victoria Park Stn	Birchmount	
24_1_CSDO	24 Victoria Park 	Consumers/Victoria Park	Don Mills Station	24B Don Mills Stn	N/A	Birchmount	
24_1_dav24	24 Victoria Park 	Danforth/Victoria Park	Steeles/Victoria Park Loop	24A Steeles 	N/A	Birchmount	
24_1_SOST	24 Victoria Park 	Rowena Drive/Victoria Park	Steeles/Victoria Park Loop	24A Steeles 	N/A	Birchmount	
25_0_25A	25 Don Mills	Freshmeadow/Don Mills (Steeles)	Pape Station	25A Pape Stn via Don Mills Stn	N/A	Eglinton	
25_0_25A*	25 Don Mills	Freshmeadow/Don Mills (Steeles)	Pape Station	25/A/B Pape Stn	bypasses Don Mills Stn	Eglinton	While the subway is closed, this branch runs instead of the regular 25A. The difference is this branch bypasses Don Mills Stn. There isn't a sign programmed for this branch, so any sign can be used.
25_0_25B	25 Don Mills	Don Mills Station	Pape Station	25B Pape Stn	N/A	Eglinton	
25_0_25C	25 Don Mills	Freshmeadow/Don Mills (Steeles)	Don Mills Station	25C Don Mills Stn	N/A	Eglinton	
25_0_dm25	25 Don Mills	Duncan Mill Road	Pape Station	25B Pape Stn	N/A	Eglinton	
25_0_feps	25 Don Mills	Fenelon Loop	Pape Station	25B Pape Stn	School trip, George S Henry Academy	Eglinton	TRACK
25_1_25A	25 Don Mills	Pape Station	Freshmeadow/Don Mills (Steeles)	25A Steeles via Don Mills Stn	N/A	Eglinton	
25_1_25A*	25 Don Mills	Pape Station	Freshmeadow/Don Mills (Steeles)	25/A/C Steeles	bypasses Don Mills Stn	Eglinton	While the subway is closed, this branch runs instead of the regular 25A. The difference is this branch bypasses Don Mills Stn. There isn't a sign programmed for this branch, so any sign can be used.
25_1_25B	25 Don Mills	Pape Station	Don Mills Station	25B Don Mills Stn	N/A	Eglinton	
25_1_25C	25 Don Mills	Don Mills Station	Freshmeadow/Don Mills (Steeles)	25C Steeles	N/A	Eglinton	
25_1_do25*	25 Don Mills	Eglinton Ave East/Don Mills Road	Freshmeadow/Don Mills (Steeles)	25A Steeles	N/A	Eglinton	
25_1_DODO	25 Don Mills	Eglinton Ave East/Don Mills Road	Don Mills Station	25B Don Mills Stn	First PM Trip	Eglinton	
25_1_FEFM	25 Don Mills	Fenelon Loop	Freshmeadow/Don Mills (Steeles)	25C Steeles	Interlined with 925: School trip, George S Henry Academy	Eglinton	TRACK
26_0_26	26 Dupont 	Jane Station	St George Station	26 St George Stn	N/A	Mount Dennis	
26_1_26	26 Dupont 	St George Stn	Jane Station	26 Jane Stn	N/A	Mount Dennis	
28_0_28	28 Bayview South 	Davisville Station	Don Valley Brick Works 	28 Brick Works	N/A	Mount Dennis, Wilson	
28_1_28	28 Bayview South 	Don Valley Brick Works 	Davisville Station	28 Davisville Stn	N/A	Mount Dennis, Wilson	
29_0_29A	29 Dufferin 	Wilson Station	Exhibition (Dufferin Gate Loop)	29A Exhibition (Dufferin Gate)	N/A	Mount Dennis	
29_0_29Adlaw	29 Dufferin	Wilson Station	Dufferin St/Lawrence Ave West	29S Short Turn	N/A	Mount Dennis	
29_0_29C	29 Dufferin	Wilson Station	Exhibition (Prince's Gate Loop)	29C Exhibition (Princes Gate)	N/A	Mount Dennis	
29_0_29Ccon	29 Dufferin	Wilson Station	Exhibition (Prince's Gate Loop)	29C Exhibition (Princes Gate)	N/A	Mount Dennis	
29_0_29Cdlaw	29 Dufferin	Dufferin St/Lawrence Ave West	Exhibition (Prince's Gate Loop)	29C Exhibition (Princes Gate)	First trip	Mount Dennis	
29_0_29CdlawCon	29 Dufferin 	Dufferin St/Lawrence Ave West	Exhibition (Prince's Gate Loop)	29C Exhibition (Princes Gate)	N/A	Mount Dennis	
29_0_29dm	29 Dufferin 	Wilson Station	Dufferin Mall	29C Exhibition (Princes Gate)	N/A	Mount Dennis	
29_1_29A	29 Dufferin 	Exhibition (Dufferin Gate Loop)	Wilson Station	29A Wilson Stn	N/A	Mount Dennis	
29_1_29C	29 Dufferin	Exhibtion (Prince's Gate Loop)	Wilson Station	29A Wilson Stn	N/A	Mount Dennis	
29_1_29Ccon	29 Dufferin	Exhibtion (Prince's Gate Loop)	Wilson Station	29A Wilson Stn	N/A	Mount Dennis	
29_1_29CdlawCon	29 Dufferin 	Exhibtion (Prince's Gate Loop)	Dufferin St/Lawrence Ave West	29S Short Turn	N/A	Mount Dennis	
29_1_29Adlaw	29 Dufferin	Exhibition (Dufferin Gate Loop)	Dufferin St/Lawrence Ave West	29S Short Turn	N/A	Mount Dennis	
29_1_29Cdlaw	29 Dufferin	Exhibtion (Prince's Gate Loop)	Dufferin St/Lawrence Ave West	29S Short Turn	N/A	Mount Dennis	
29_1_29D	29 Dufferin	Exhibition (Prince's Gate Loop)	Dufferin Station	29D Dufferin Stn	N/A	Mount Dennis	
29_1_29wils	29 Dufferin 	Dufferin St/Lawrence Ave West	Wilson Station	29A Wilson Stn	First trip	Mount Dennis	
29_1_dm29	29 Dufferin 	Dufferin Mall	Wilson Station	29A Wilson Stn	N/A	Mount Dennis	
30_0_30A	30 High Park	Runnymede Loop	High Park Station	30A High Park Stn	N/A	Queensway	
30_0_30B	30 High Park	Runnymede Loop	Colborne Lodge Drive	30B High Park	via High Park Stn	Queensway	
30_0_HPCL	30 High Park	High Park Station	Colborne Lodge Drive	30B High Park	N/A	Queensway	
30_1_30A	30 High Park	High Park Station	Runnymede Loop	30 Runnymede	N/A	Queensway	
30_1_30B	30 High Park	Colborne Lodge Drive	Runnymede Loop	30B Runnymede	via High Park Stn	Queensway	
30_1_CLHP	30 High Park	Colborne Lodge Drive	High Park Station	30S Short Turn	N/A	Queensway	
31_0_31A	31 Greenwood	Greenwood Station	Queen Street	31A Queen	N/A	Birchmount	
31_1_31A	31 Greenwood 	Queen Street	Greenwood Station	31 Greenwood Stn	N/A	Birchmount	
31_0_31B	31 Greenwood	Greenwood Station	Eastern Avenue	31B Eastern 	N/A	Birchmount	
31_1_31B	31 Greenwood 	Eastern Avenue	Greenwood Station	31 Greenwood Stn	N/A	Birchmount	
32_0_32A	32 Eglinton West	Renforth Station	Eglinton Station	32 Eglinton Stn	via Eglinton W Stn	Mount Dennis	
32_0_32C	32 Eglinton West	Pine Street/Lawrence Ave West 	Eglinton Station	32 Eglinton Stn	via Eglinton W Stn	Mount Dennis	
32_0_32D	32 Eglinton West	Emmett Avenue/Verona Avenue	Eglinton West Station	32D Eglinton West Stn	N/A	Mount Dennis	
32_0_32F	32 Eglinton West	Royal York Road/Threhorne Drive	Eglinton Station	32 Eglinton Stn	via Eglinton W Stn	Mount Dennis	
32_0_32Fp	32 Eglinton West	Royal York Road/Threhorne Drive	Eglinton Station	32 Eglinton Stn	via Eglinton W Stn	Mount Dennis	
32_0_32Fes	32 Eglinton West	Royal York Road/Threhorne Drive	Eglinton Station	32 Eglinton Stn	via Eglinton W Stn	Mount Dennis	
32_0_HOJA	32 Eglinton West	Emmett Avenue/Verona Avenue	Jane Street/Goldwin Avenue	32D Jane & Emmett	Last trip for run	Mount Dennis	
