1_a0dd9730	29 Guelph / Mississauga	Square One Terminal	Guelph Central GO Bus	29 Guelph Central GO	N/A	GO Transit	
0_6c9ec0bb	30 Kitchener / Bramalea	Kitchener GO Bus	Bramalea GO Stn. at Steeles Avenue.	30 Bramalea GO	N/A	GO Transit	
1_f88b9787	30 Kitchener / Bramalea	Bramalea GO Stn. at Steeles Avenue	Kitchener GO Bus	30 Kitchener GO	N/A	GO Transit	
0_56e79729	31 Georgetown	Bramalea GO Stn. at Steeles Avenue	Union Station Bus Terminal	31L Union Station	N/A	GO Transit	
0_ccd29b13	31 Georgetown	University of Guelph	Union Station Bus Terminal	31 Union Station	N/A	GO Transit	
1_158bc95d	31 Georgetown	Union Station Bus Terminal	University of Guelph	31 U of Guelph	N/A	GO Transit	
1_1d1904d5	31 Georgetown	Union Station Bus Terminal	Bramalea GO Stn. at Steeles Avenue.	31L Bramalea GO	N/A	GO Transit	
1_51c6145b	31 Georgetown	Union Station Bus Terminal	Bramalea Bus Terminal	31N Bramalea Terminal	N/A	GO Transit	
0_293a7f23	32 Brampton Trinity Common/North York	Bramalea Bus Terminal	York Mills Bus Terminal	32B York Mills Terminal	N/A	GO Transit	
0_5c125e22	32 Brampton Trinity Common/North York	Trinity Common Mall	York Mills Bus Terminal	32 York Mills Terminal	N/A	GO Transit	
1_32f70d77	32 Brampton Trinity Common/North York	York Mills Bus Terminal	Trinity Common Mall	32 Trinity Common	N/A	GO Transit	
1_a5a70623	32 Brampton Trinity Common/North York	York Mills Bus Terminal	Bramalea Bus Terminal	32B Bramalea Terminal	N/A	GO Transit	
0_1d2bf30a	33 Guelph / North York	University of Guelph	York Mills Bus Terminal	33 York Mills Terminal	N/A	GO Transit	
1_8f521b47	33 Guelph / North York	York Mills Bus Terminal	University of Guelph	33 U of Guelph	N/A	GO Transit	
0_7c70ca3c	34 Pearson Airport / North York	Pearson Airport (Terminal 1)	Finch Bus Terminal	34 Finch Terminal	N/A	GO Transit	
1_21e4ac9e	34 Pearson Airport / North York	Finch Bus Terminal	Pearson Airport (Terminal 1)	34 Pearson Aiport	N/A	GO Transit	
0_5f19c232	36 Brampton / North York Express	Brampton Bus Terminal	York Mills Bus Terminal	36 York Mills Terminal	N/A	GO Transit	
1_2121bc44	36 Brampton / North York Express	York Mills Bus Terminal	Brampton Bus Terminal	36 Brampton Terminal	N/A	GO Transit	
