Route Number	Route Name	Division(s)	All Interlines	Internal Branches
134	Progress	Malvern	913 Progress Express	"134_0_134A
134_0_134Ar
134_0_134Bam
134_0_134Bpm
134_0_134C
134_1_134A
134_1_134Ar
134_1_134Bam
134_1_134Bpm
134_1_134C
134_1_TAFD
134_1_TAFD*"
135	Gerrard	Birchmount	70 O'Connor, 300 Bloor-Danforth	"135_0_135
135_1_135"
141	Downtown/Mt.Pleasant Express	Mount Dennis	32 Eglinton West	"141_0_141am
141_0_141A
141_0_141B
141_0_141pm
141_1_141am
141_1_141A
141_1_141B
141_1_141pm
141_1_asad"
142	Downtown/Avenue Rd Express	Wilson	7 Bathurst	"142_0_142
142_1_142
142_0_SICH"
143	Downtown/Beach Express	Birchmount	None	"143_0_143
143_0_143Con
143_0_143pm
143_1_143
143_1_143Con
143_1_143pm
143_1_143pmCon
143_1_SHAS"
144	Downtown/Don Valley Express	Eglinton	68 Warden, 102 Markham Rd	"144_0_144
144_0_144A
144_0_144B
144_0_JVAS
144_1_144
144_1_144A
144_1_144B
144_1_ASAD"
145	Downtown/Humber Bay Express	Queensway	None	"145_0_145A
145_0_145Aa
145_0_145Ap
145_0_145A4
145_0_145A5
145_0_145Aam
145_0_145Apm
145_0_145Ba
145_0_145Bp
145_0_145B1
145_0_145B2
145_0_145B3
145_0_145B
145_0_ADRM
145_1_145A
145_1_145Aam
145_1_145Apm
145_1_145Ap
145_1_145B
145_1_145Bp
145_1_145Ami
145_1_145Ami1"
160	Bathurst North	Wilson	None	"160_0_160
160_0_CLST
160_1_160"
161	Rogers Rd	Mount Dennis	329 Dufferin	"161_0_161
161_0_ljro
161_1_161"
162	Lawrence-Donway	Wilson	None	"162_0_162
162_0_162con
162_0_DWDE
162_1_162
162_1_DEDW
162_1_162con"
165	Weston Rd North	Arrow Rd	None	"165_0_165A
165_1_165A
165_0_165AAM
165_1_165AAM
165_0_si165
165_0_165Apm
165_1_wi165G
165_0_BAFW
165_1_FWBA
165_0_BAYM"
167	Pharmacy North	Birchmount	None	"167_0_167A
167_0_167B
167_1_167A
167_1_167B"
168	Symington	Mount Dennis	None	"168_0_168
168_1_168"
169	Huntingwood	Wilson	None	"169_0_169A
169_0_169B
169_1_169A
169_1_169B
169_1_MCDO"
171	Mt.Dennis	Mount Dennis	None	"171_0_171
171_1_171"
175	Bluffer's Park	Birchmount	None	"175_0_175
175_1_175"
176	Mimico GO	Queensway	None	"176_0_176am
176_1_176am
176_0_176pm
176_1_176pm"
189 Stockyards  Queensway None  "189_0_189
189_1_189"
300	Bloor-Danforth	Birchmount, Eglinton, Malvern, Mount Dennis, Queensway	6 Bay, 16 McCowan, 20 Cliffside, 22 Coxwell, 24 Victoria Park, 25 Don Mills, 26 Dupont, 30 Lambton, 32 Eglinton West, 34 Eglinton East, 40 Junction, 41 Keele, 43 Kennedy, 44 Kipling South, 45 Kipling, 47 Lansdowne, 49 Bloor West, 50 Burnhamthorpe, 68 Warden, 73 Royal York, 76 Royal York South, 77 Swansea, 79 Scarlett Rd, 81 Thorncliffe Park, 86 Scarborough, 87 Cosburn, 100 Flemingdon Park, 102 Markham Rd, 111 East Mall, 112 West Mall, 113 Danforth, 116 Morningside, 123 Sherway, 135 Gerrard, 302 Kingston-McCowan, 332 Eglinton West, 900 Airport Express, 944 Kipling South Express, 985 Sheppard East Express	"300_0_300A
300_0_300A*
300_0_300Abs
300_0_300Ake
300_0_300B
300_0_300B*
300_0_300Bstn
300_0_300Bdd
300_0_300cs
300_0_ba300
300_0_ba300B
300_0_EMKP
300_0_kp300
300_0_kp300ps
300_0_LSPS
300_0_MSDD
300_0_MSKE
300_0_T3KP
300_1_300A
300_1_300A*
300_1_300Akp
300_1_300B
300_1_300B*
300_1_300baB
300_1_300bsB
300_1_300Bkp
300_1_300la
300_1_300kp
300_1_bs300
300_1_bs300*
300_1_BSKP
300_1_CSDW
300_1_CSJN
300_1_KPEM
300_1_KPEM*
300_1_KEPS
300_1_PSJN
300_1_T1T3"
301	Queen	Russel, Leslie	501 Queen	"301_0_301
301_0_301Bbus
301_0_301Rbus
301_0_LOCQ
301_0_LORQ
301_0_LOLQ
301_0_CQRQ
301_1_301
301_1_301Bbus
301_1_301Rbus
301_1_br301bus
301_1_CQBRbus
301_1_NECQ
301_1_NELQ"
302	Kingston Rd-McCowan	Birchmount, Malvern	12 Kingston Rd, 16 McCowan, 21 Brimley, 22 Coxwell, 24 Victoria Park, 87 Cosburn, 102 Markham Rd	"302_0_302
302_1_302
302_0_BIDA"
304	King	Leslie, Russell	None	"304_0_304
304_1_304
304_1_BSBR
304_0_304br
304_1_br304
304_0_304le
304_1_304le
304_0_BRBS
304_0_304am
304_1_304am"
306	Carlton	Russell, Leslie	506 Carlton	"306_0_306
306_1_306
306_0_306bus
306_1_306bus
306_0_306buscon
306_1_306buscon
306_1_MSCX
306_0_306cx"
307	Bathurst	Wilson	7 Bathurst	"307_0_307
307_0_VLBL
307_1_307
307_1_307EXBL
307_1_BWVL"
310	Spadina	Leslie	510 Spadina	"310_0_310
310_0_SPCH
310_1_310
310_1_USCH"
312	St. Clair-Junction	Mount Dennis	26 Dupont, 79 Scarlett Rd, 89 Weston, 47 Lansdowne 	"312_0_312
312_1_312"
315	Evans-Brown's Line	Queensway	15 Evans, 37 Islington, 45 Kipling, 73 Royal York, 110 Islington South, 123 Sherway	"315_0_315
315_1_315
315_0_315con
315_1_315con"
320	Yonge	Birchmount, Eglinton, Malvern, Mount Dennis, Wilson	5 Avenue Rd, 7 Bathurst, 11 Bayview, 17 Birchmount, 25 Don Mills, 29 Dufferin, 32 Eglinton West, 34 Eglinton East, 42 Cummer, 47 Lansdowne, 51 Leslie, 54 Lawrence East, 56 Leaside, 61 Avenue Rd North, 63 Ossington, 70 O'Connor, 75 Sherbourne, 82 Rosedale, 88 South Leaside, 89 Weston, 90 Vaughan, 94 Wellesley, 97 Yonge, 98 Willowdale-Senlac, 100 Flemingdon Park, 104 Faywood, 105 Dufferin North 109 Ranee, 122 Graydon Hall, 125 Drewry, 127 Davenport, 925 Don Mills Express, 985 Sheppard East Express	"320_0_320
320_0_320A
320_0_SYFS
320_0_YEQQ
320_1_320
320_1_320*fs
320_1_DVSY
320_1_QQDV
320_1_QQES
320_1_QQYE
320_1_QQYM
320_1_YESY
320_1_YEYK"
322	Coxwell	Birchmount	12 Kingston Rd, 16 McCowan, 24 Victoria Park, 31 Greenwood, 83 Jones, 87 Cosburn, 92 Woodbine South, 324 Victoria Park	"322_0_322
322_1_322
322_0_BIWD"
