vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
1515	1509-1518	"New Flyer"	"2015 XDE40"	Shoemaker	"ISL330-H	40	EP"	Active		07/09/2018
1516	1509-1518	"New Flyer"	"2015 XDE40"	Gilbert	"ISL330-H	40	EP"	Active		07/09/2018
1517	1509-1518	"New Flyer"	"2015 XDE40"	Gilbert	"ISL330-H	40	EP"	Active		07/09/2018
1518	1509-1518	"New Flyer"	"2015 XDE40"	Gilbert	"ISL330-H	40	EP"	Active		07/09/2018
1519	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1520	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1521	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1522	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1523	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1524	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1525	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1526	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1527	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1528	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1529	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1530	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1531	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1532	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1533	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1534	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1535	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1536	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1537	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1538	1519-1538	"New Flyer"	"2015 XD40"	Gilbert	ISL9-B400R	Active		07/09/2018
1539	1539-1548	"New Flyer"	"2015	XD60"	Shoemaker	ISL9-B500R	Active		07/09/2018
1540	1539-1548	"New Flyer"	"2015	XD60"	Shoemaker	ISL9-B500R	Active		07/09/2018
1541	1539-1548	"New Flyer"	"2015	XD60"	Shoemaker	ISL9-B500R	Active		07/09/2018
1542	1539-1548	"New Flyer"	"2015	XD60"	Shoemaker	ISL9-B500R	Active		07/09/2018
1543	1539-1548	"New Flyer"	"2015	XD60"	Shoemaker	ISL9-B500R	Active		07/09/2018
1544	1539-1548	"New Flyer"	"2015	XD60"	Shoemaker	ISL9-B500R	Active		07/09/2018
1545	1539-1548	"New Flyer"	"2015	XD60"	Gilbert	ISL9-B500R	Active		07/09/2018
1546	1539-1548	"New Flyer"	"2015	XD60"	Gilbert	ISL9-B500R	Active		07/09/2018
1547	1539-1548	"New Flyer"	"2015	XD60"	Gilbert	ISL9-B500R	Active		07/09/2018
1548	1539-1548	"New Flyer"	"2015	XD60"	Shoemaker	ISL9-B500R	Active		07/09/2018
1700	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1701	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1702	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1703	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1704	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1705	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1706	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1707	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1708	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1709	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1710	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1711	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1712	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1713	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1714	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1715	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1716	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1717	1700-1728	"New Flyer"	"2017 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1718	1700-1728	"New Flyer"	"2017 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1719	1700-1728	"New Flyer"	"2017 XD40"		L9-B400R	Active		07/09/2018
1720	1700-1728	"New Flyer"	"2018 XD40"		L9-B400R	Active		07/09/2018
1721	1700-1728	"New Flyer"	"2018 XD40"		L9-B400R	Active		07/09/2018
1722	1700-1728	"New Flyer"	"2018 XD40"		L9-B400R	Active		07/09/2018
1723	1700-1728	"New Flyer"	"2018 XD40"		L9-B400R	Active		07/09/2018
1724	1700-1728	"New Flyer"	"2018 XD40"		L9-B400R	Active		07/09/2018
1725	1700-1728	"New Flyer"	"2018 XD40"	Gilbert	L9-B400R	Active		07/09/2018
1726	1700-1728	"New Flyer"	"2018 XD40"	Shoemaker	L9-B400R	Active		07/09/2018
1727	1700-1728	"New Flyer"	"2018 XD40"		L9-B400R	Active		07/09/2018
1728	1700-1728	"New Flyer"	"2018 XD40"	Gilbert	L9-B400R	Active		07/09/2018
3900	3900-3959	"New Flyer"	"2003 D40LF"	Shoemaker	S50EGR-B400R	Active		07/09/2018
