28_0_28	28 Bayview South 	Davisville Stn	Evergreen Brick Works 	28 Brick Works	N/A
28_1_28	28 Bayview South 	Evergreen Brick Works 	Davisville Stn	28 Davisville Stn	N/A
29_0_29A	29 Dufferin 	Wilson Stn	Dufferin Gate Loop	29A Exhibition 	N/A
29_1_29A	29 Dufferin 	Dufferin Gate Loop	Wilson Stn	29A Wilson Stn	N/A
29_0_29B	29 Dufferin 	Landsdowne/Tycos 	Exhibition (Dufferin Gate Loop)	29B Exhibition 	N/A
29_1_29B	29 Dufferin 	Exhibition (Dufferin Gate Loop)	Landsdown/Tycos 	29B Tycos	N/A
29_0_29C	29 Dufferin	Wilson Stn	Exhibition (Princes Gate Loop)	29C Princes Gate 	N/A
29_1_29C	29 Dufferin	Exhibtion (Princes Gate Loop)	Wilson Stn	29C Wilson Stn	N/A
29_0_29D	29 Dufferin	Dufferin Stn	Princes Gate Loop	29D Princes Gate 	N/A
29_1_29D	29 Dufferin	Princes Gate Loop	Dufferin Stn	29D Dufferin Stn	N/A
29_0_29dm	29 Dufferin 	Wilson Stn	Dufferin Mall	29D Dufferin Mall/Stn	N/A
29_1_29dm	29 Dufferin 	Dufferin Mall	Wilson Stn	29D Wilson Stn	N/A
30_0_30A	30 Lambton	Kipling Stn	High Park Stn	30A High Park Stn	N/A
30_1_30A	30 Lambton	High Park Stn	Kipling Stn	30 Kipling Stn	N/A
30_0_30B	30 Lambton	Kipling Stn	High Park 	30B High Park 	via High Park Stn
30_1_30B	30 Lambton	High Park 	Kipling Stn	30B Kipling Stn	via High Park Stn
30_0_HPCL	30 Lambton	High Park Stn	Colborne Lodge/Centre Rd	30 High Park	N/A
30_1_CLHP	30 Lambton	Colborne Lodge/Centre Rd	High Park Stn	30 High Park Stn	N/A
31_0_31A	31 Greenwood	Greenwood Stn	Queen Street	31A Queen	N/A
31_1_31A	31 Greenwood 	Queen Street	Greenwood Stn	31 Greenwood Stn	N/A
31_0_31B	31 Greenwood	Greenwood Stn	Eastern/Minto	31B Eastern 	N/A
31_1_31B	31 Greenwood 	Eastern/Minto	Greenwood Stn	31 Greenwood Stn	N/A
32_0_32A	32 Eglinton West	Renforth Stn	Eglinton Stn	32 Eglinton Stn	N/A
32_1_32A	32 Eglinton West	Eglinton Stn	Renforth Stn	32A Renforth Stn	N/A
32_0_32C	32 Eglinton West	Pine St/Lawrence West 	Eglinton Stn	32 Eglinton Stn	N/A
32_1_32C	32 Eglinton West	Eglinton Stn	Pine St/Lawrence West 	32C Jane and Lawrence 	via Trethewey
32_0_32D	32 Eglinton West	Emmet/Verona Ave	Eglinton West Stn	32 Eglinton West Stn	N/A
32_1_32D	32 Eglinton West	Eglinton West Stn	Emmet/Verona Ave	32D Jane & Emmet 	N/A
32_0_HOJA	32 Eglinton West	Emmett Ave/Verona Ave	Jane St/Goldwin Ave	32D Jane & Emmett	last trip for run
33_0_33	33 Forest Hill	Roselawn/Bathurst	St Clair Stn	33 St Clair Stn	N/A
33_1_33	33 Forest Hill	St Clair Stn	Roselawn/Bathurst	33 Eglinton	N/A
33_1_33roch	33 Forest Hill	St Clair Stn	Roselawn/Chaplin	33 Eglinton	Last trip of 33
34_0_34A	34 Eglinton East 	Eglinton Stn	Kennedy Stn	34A Kennedy Stn 	N/A
34_1_34A	34 Eglinton East 	Kennedy Stn	Eglinton Stn	34A Eglinton Stn	N/A
34_0_34B	34 Eglinton East 	Don Mills Rd (Don Mills and Wyford) 	Kennedy Stn	34B Kennedy Stn	N/A
34_1_34B	34 Eglinton East 	Kennedy Stn	Don Mills Rd (Don Mills and Wynford) 	34B Don Mills and Wynford 	N/A
34_0_34C	34 Eglinton East 	Eglinton Stn	Grenoble/Spanbridge (Flemingdon Park) 	34C Flemingdon Park	N/A
34_1_34C	34 Eglinton East 	Grenoble/Spanbridge (Flemingdon Park) 	Eglinton Stn	34C Eglinton Stn	N/A
34_1_34Akes	34 Eglinton East	Brimley Rd	Eglinton Stn	34A Eglinton Stn	bypass Kennedy Stn
35_0_35A	35 Jane	Pioneer Village Stn	Jane Stn	35 Jane Stn	N/A
35_1_35A	35 Jane	Jane Stn	Pioneer Village Stn	35A Pioneer Village Stn	N/A
35_0_35B	35 Jane	Pionner Village Stn	Jane Stn	35 Jane Stn	via Hullmar Drive
35_1_35B	35 Jane	Jane Stn	Pioneer Village Stn	35B Pioneer Village Stn	via Hullmar Drive
35_0_35Apv	35 Jane	Northwest Gate (Pioneer Village Stn)	Jane Stn	35 Jane Stn	does not enter Pioneer Village
35_0_35Arush	35 Jane	Pioneer Village Stn	Jane Stn	35 Jane Stn	unknown differences
35_1_35A	35 Jane	Jane Stn	Pioneer Village Stn	35A Pioneer Village Stn	N/A
35_1_35fj	35 Jane	Jane Stn	Finch 	35S Finch	last trip
35_1_35Apv	35 Jane	Jane Stn	Northwest Gate (Pioneer Village Stn)	35A/C Pioneer Village Stn	does not enter Pioneer Village Stn
35_1_35Arush	35 Jane	Jane Stn	Pioneer Village Stn	35A Pioneer Village Stn	bypass Bloor St stop
35_1_35fj	35 Jane 	Jane Stn	Finch	35S Finch	N/A
36_0_36A	36 Finch West	Humberwood Loop	Finch Stn	36 Finch Stn	via Finch West Stn
36_1_36A	36 Finch West	Finch Stn	Humberwood Loop	36A Humberwood 	via Finch West Stn
36_0_36B	36 Finch West	Finch West Stn	Finch Stn	36 Finch Stn	N/A
36_1_36B	36 Finch West	Finch Stn	Finch West Stn	36A Finch West Stn	N/A
36_0_36D	36 Finch West	Weston Rd	Finch Stn	36 Finch Stn	via Milvan 
36_1_36D	36 Finch West	Finch Stn	Weston Rd	36D Weston Rd	via Milvan 
36_0_36F	36 Finch West	Weston Rd	Finch West Stn	36 Finch West Stn	via Milvan and Fenmar
36_1_36F	36 Finch West	Finch West Stn	Weston Rd	36F Weston Rd	via Milvan and Fenmar
