vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
617	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
618	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
619	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
620	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
621	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
622	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
623	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
624	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
625	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
626	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
627	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Inactive		9 July 2018
628	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
629	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
630	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
631	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
632	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
633	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
634	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
635	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
636	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
637	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
638	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
639	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
640	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
641	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
642	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
643	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
644	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
645	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
646	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
647	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
648	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
649	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
650	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
651	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
652	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
653	0601-0653	New Flyer	2006 D40LFR	Malton	ISL-D864.3E	Active		9 July 2018
721	0721-0735	New Flyer	2007 D40LFR	Central Parkway	ISL-D864.5	Active		9 July 2018
722	0721-0735	New Flyer	2007 D40LFR	Central Parkway	ISL-D864.5	Active		9 July 2018
723	0721-0735	New Flyer	2007 D40LFR	Central Parkway	ISL-D864.5	Active		9 July 2018
724	0721-0735	New Flyer	2007 D40LFR	Central Parkway	ISL-D864.5	Active		9 July 2018
