vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
1122	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1123	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1124	1101-1124	Gillig	2011 Low Floor HEV 40'	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1117-b.jpg"	11 July 2018
1401	1401-1403	New Flyer	2014 XDE60	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1403-a.jpg"	11 July 2018
1402	1401-1403	New Flyer	2014 XDE60	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1403-a.jpg"	11 July 2018
1403	1401-1403	New Flyer	2014 XDE60	Glenwood Blvd	ISB6.7-H 40 EP	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_1403-a.jpg"	11 July 2018
6101	6101-6106	New Flyer	2006 DE60LFA	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6102-a.jpg"	11 July 2018
6102	6101-6106	New Flyer	2006 DE60LFA	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6102-a.jpg"	11 July 2018
6103	6101-6106	New Flyer	2006 DE60LFA	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6102-a.jpg"	11 July 2018
6104	6101-6106	New Flyer	2006 DE60LFA	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6102-a.jpg"	11 July 2018
6105	6101-6106	New Flyer	2006 DE60LFA	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6102-a.jpg"	11 July 2018
6106	6101-6106	New Flyer	2006 DE60LFA	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6102-a.jpg"	11 July 2018
6201	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6202	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6203	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6204	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6205	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6206	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6207	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6208	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6209	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6210	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6211	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6212	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6213	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6214	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6215	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6216	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6217	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6218	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6219	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
6220	6201-6220	Gillig	2006 Low Floor 40'	Glenwood Blvd	ISM-B400R	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_6218-a.jpg"	11 July 2018
7101	7101-7105	New Flyer	2007 DE60LFR	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_7104-a.jpg"	11 July 2018
7102	7101-7105	New Flyer	2007 DE60LFR	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_7104-a.jpg"	11 July 2018
7103	7101-7105	New Flyer	2007 DE60LFR	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_7104-a.jpg"	11 July 2018
7104	7101-7105	New Flyer	2007 DE60LFR	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_7104-a.jpg"	11 July 2018
7105	7101-7105	New Flyer	2007 DE60LFR	Glenwood Blvd	CAT C9-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_7104-a.jpg"	11 July 2018
9101	9101-9105	New Flyer	2009 DE60LFA	Glenwood Blvd	ISL-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_9102-a.jpg"	11 July 2018
9102	9101-9105	New Flyer	2009 DE60LFA	Glenwood Blvd	ISL-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_9102-a.jpg"	11 July 2018
9103	9101-9105	New Flyer	2009 DE60LFA	Glenwood Blvd	ISL-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_9102-a.jpg"	11 July 2018
9104	9101-9105	New Flyer	2009 DE60LFA	Glenwood Blvd	ISL-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_9102-a.jpg"	11 July 2018
9105	9101-9105	New Flyer	2009 DE60LFA	Glenwood Blvd	ISL-EP 50	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_9102-a.jpg"	11 July 2018
15101	15101-15107	New Flyer	2015 XDE60	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_15104-a.jpg"	11 July 2018
15102	15101-15107	New Flyer	2015 XDE60	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_15104-a.jpg"	11 July 2018
15103	15101-15107	New Flyer	2015 XDE60	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_15104-a.jpg"	11 July 2018
15104	15101-15107	New Flyer	2015 XDE60	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_15104-a.jpg"	11 July 2018
15105	15101-15107	New Flyer	2015 XDE60	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_15104-a.jpg"	11 July 2018
15106	15101-15107	New Flyer	2015 XDE60	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_15104-a.jpg"	11 July 2018
15107	15101-15107	New Flyer	2015 XDE60	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_15104-a.jpg"	11 July 2018
16201	16201-16205	New Flyer	2016 XDE40	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_16204-a.jpg"	11 July 2018
16202	16201-16205	New Flyer	2016 XDE40	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_16204-a.jpg"	11 July 2018
16203	16201-16205	New Flyer	2016 XDE40	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_16204-a.jpg"	11 July 2018
16204	16201-16205	New Flyer	2016 XDE40	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_16204-a.jpg"	11 July 2018
16205	16201-16205	New Flyer	2016 XDE40	Glenwood Blvd	ISL9-BAE	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_16204-a.jpg"	11 July 2018
